Analog,Digital,Reconstructed
0,0.00392157,0.00392157
0.0627905,0,0.00392157
0.125333,0,0.00392157
0.187381,0,0.00392157
0.24869,0,0.00392157
0.309017,0,0.00392157
0.368125,0,0.00392157
0.425779,0,0.00392157
0.481754,0,0.00392157
0.535827,0,0.00392157
0.587785,0.584314,0.584314
0.637424,0,0.584314
0.684547,0,0.584314
0.728969,0,0.584314
0.770513,0,0.584314
0.809017,0,0.584314
0.844328,0,0.584314
0.876307,0,0.584314
0.904827,0,0.584314
0.929776,0,0.584314
0.951057,0.952941,0.952941
0.968583,0,0.952941
0.982287,0,0.952941
0.992115,0,0.952941
0.998027,0,0.952941
1,0,0.952941
0.998027,0,0.952941
0.992115,0,0.952941
0.982287,0,0.952941
0.968583,0,0.952941
0.951057,0.952941,0.952941
0.929776,0,0.952941
0.904827,0,0.952941
0.876307,0,0.952941
0.844328,0,0.952941
0.809017,0,0.952941
0.770513,0,0.952941
0.728969,0,0.952941
0.684547,0,0.952941
0.637424,0,0.952941
0.587785,0.584314,0.584314
0.535827,0,0.584314
0.481754,0,0.584314
0.425779,0,0.584314
0.368125,0,0.584314
0.309017,0,0.584314
0.24869,0,0.584314
0.187381,0,0.584314
0.125333,0,0.584314
0.0627905,0,0.584314
1.22465e-16,0.00392157,0.00392157
-0.0627905,0,0.00392157
-0.125333,0,0.00392157
-0.187381,0,0.00392157
-0.24869,0,0.00392157
-0.309017,0,0.00392157
-0.368125,0,0.00392157
-0.425779,0,0.00392157
-0.481754,0,0.00392157
-0.535827,0,0.00392157
-0.587785,-0.584314,-0.584314
-0.637424,0,-0.584314
-0.684547,0,-0.584314
-0.728969,0,-0.584314
-0.770513,0,-0.584314
-0.809017,0,-0.584314
-0.844328,0,-0.584314
-0.876307,0,-0.584314
-0.904827,0,-0.584314
-0.929776,0,-0.584314
-0.951057,-0.952941,-0.952941
-0.968583,0,-0.952941
-0.982287,0,-0.952941
-0.992115,0,-0.952941
-0.998027,0,-0.952941
-1,0,-0.952941
-0.998027,0,-0.952941
-0.992115,0,-0.952941
-0.982287,0,-0.952941
-0.968583,0,-0.952941
-0.951057,-0.952941,-0.952941
-0.929776,0,-0.952941
-0.904827,0,-0.952941
-0.876307,0,-0.952941
-0.844328,0,-0.952941
-0.809017,0,-0.952941
-0.770513,0,-0.952941
-0.728969,0,-0.952941
-0.684547,0,-0.952941
-0.637424,0,-0.952941
-0.587785,-0.584314,-0.584314
-0.535827,0,-0.584314
-0.481754,0,-0.584314
-0.425779,0,-0.584314
-0.368125,0,-0.584314
-0.309017,0,-0.584314
-0.24869,0,-0.584314
-0.187381,0,-0.584314
-0.125333,0,-0.584314
-0.0627905,0,-0.584314
-2.44929e-16,-0.00392157,-0.00392157
0.0627905,0,-0.00392157
0.125333,0,-0.00392157
0.187381,0,-0.00392157
0.24869,0,-0.00392157
0.309017,0,-0.00392157
0.368125,0,-0.00392157
0.425779,0,-0.00392157
0.481754,0,-0.00392157
0.535827,0,-0.00392157
0.587785,0.584314,0.584314
0.637424,0,0.584314
0.684547,0,0.584314
0.728969,0,0.584314
0.770513,0,0.584314
0.809017,0,0.584314
0.844328,0,0.584314
0.876307,0,0.584314
0.904827,0,0.584314
0.929776,0,0.584314
0.951057,0.952941,0.952941
0.968583,0,0.952941
0.982287,0,0.952941
0.992115,0,0.952941
0.998027,0,0.952941
1,0,0.952941
0.998027,0,0.952941
0.992115,0,0.952941
0.982287,0,0.952941
0.968583,0,0.952941
0.951057,0.952941,0.952941
0.929776,0,0.952941
0.904827,0,0.952941
0.876307,0,0.952941
0.844328,0,0.952941
0.809017,0,0.952941
0.770513,0,0.952941
0.728969,0,0.952941
0.684547,0,0.952941
0.637424,0,0.952941
0.587785,0.584314,0.584314
0.535827,0,0.584314
0.481754,0,0.584314
0.425779,0,0.584314
0.368125,0,0.584314
0.309017,0,0.584314
0.24869,0,0.584314
0.187381,0,0.584314
0.125333,0,0.584314
0.0627905,0,0.584314
3.67394e-16,0.00392157,0.00392157
-0.0627905,0,0.00392157
-0.125333,0,0.00392157
-0.187381,0,0.00392157
-0.24869,0,0.00392157
-0.309017,0,0.00392157
-0.368125,0,0.00392157
-0.425779,0,0.00392157
-0.481754,0,0.00392157
-0.535827,0,0.00392157
-0.587785,-0.584314,-0.584314
-0.637424,0,-0.584314
-0.684547,0,-0.584314
-0.728969,0,-0.584314
-0.770513,0,-0.584314
-0.809017,0,-0.584314
-0.844328,0,-0.584314
-0.876307,0,-0.584314
-0.904827,0,-0.584314
-0.929776,0,-0.584314
-0.951057,-0.952941,-0.952941
-0.968583,0,-0.952941
-0.982287,0,-0.952941
-0.992115,0,-0.952941
-0.998027,0,-0.952941
-1,0,-0.952941
-0.998027,0,-0.952941
-0.992115,0,-0.952941
-0.982287,0,-0.952941
-0.968583,0,-0.952941
-0.951057,-0.952941,-0.952941
-0.929776,0,-0.952941
-0.904827,0,-0.952941
-0.876307,0,-0.952941
-0.844328,0,-0.952941
-0.809017,0,-0.952941
-0.770513,0,-0.952941
-0.728969,0,-0.952941
-0.684547,0,-0.952941
-0.637424,0,-0.952941
-0.587785,-0.584314,-0.584314
-0.535827,0,-0.584314
-0.481754,0,-0.584314
-0.425779,0,-0.584314
-0.368125,0,-0.584314
-0.309017,0,-0.584314
-0.24869,0,-0.584314
-0.187381,0,-0.584314
-0.125333,0,-0.584314
-0.0627905,0,-0.584314
-4.89859e-16,-0.00392157,-0.00392157
0.0627905,0,-0.00392157
0.125333,0,-0.00392157
0.187381,0,-0.00392157
